Timestamp,Pitch,Roll,Yaw
2025-01-01T00:24:57.995289,0.56,-8.33,-3.78
2025-01-01T00:24:58.227014,6.09,117.67,-10.78
2025-01-01T00:24:58.411879,-24.01,473.76,-13.3
2025-01-01T00:24:58.612410,14.7,306.32,19.04
2025-01-01T00:24:58.828516,-2.38,-4.2,-5.46
2025-01-01T00:24:59.029000,-2.52,-37.87,-2.24
2025-01-01T00:24:59.260327,-3.15,-215.39,-17.29
2025-01-01T00:24:59.449723,-0.49,-327.18,7.07
2025-01-01T00:24:59.645708,-14.77,-212.94,-5.6
2025-01-01T00:24:59.861814,-5.39,-23.38,-0.14
2025-01-01T00:25:00.084430,-1.68,0.14,-0.35
2025-01-01T00:25:00.327200,-0.77,-2.87,-1.12
2025-01-01T00:25:00.528537,13.51,203.35,-24.22
2025-01-01T00:25:00.827995,-9.45,298.62,-7.91
2025-01-01T00:25:01.122218,5.53,190.47,-2.8
2025-01-01T00:25:01.329214,-5.18,-14.28,-5.18
2025-01-01T00:25:01.529708,-3.85,-19.46,-3.71
2025-01-01T00:25:01.730193,2.45,-565.88,-35.98
2025-01-01T00:25:01.946351,0.35,-231.07,9.45
2025-01-01T00:25:02.247010,-19.18,-146.09,8.33
2025-01-01T00:25:02.447071,0.7,2.59,-2.24
2025-01-01T00:25:02.647605,24.43,386.05,-37.24
2025-01-01T00:25:02.879345,-0.14,231.14,-6.79
2025-01-01T00:25:03.064203,-0.91,102.41,9.87
2025-01-01T00:25:03.264729,1.54,-110.04,-5.81
2025-01-01T00:25:03.502840,-5.81,-5.67,2.03
2025-01-01T00:25:03.749888,-2.45,-0.84,-0.49
2025-01-01T00:25:03.934753,-1.68,-1.75,-1.05
2025-01-01T00:25:04.213388,-75.04,-10.22,26.39
2025-01-01T00:25:04.448070,-86.45,-64.4,-2.38
2025-01-01T00:25:04.736678,-62.93,80.29,-21.28
2025-01-01T00:25:04.952807,-1.96,9.66,15.96
2025-01-01T00:25:05.137293,42.84,-12.88,8.19
2025-01-01T00:25:05.384646,292.88,52.15,55.79
2025-01-01T00:25:05.569509,176.89,35.49,-33.46
2025-01-01T00:25:05.770001,40.11,-2.59,-5.46
2025-01-01T00:25:05.986108,-10.85,-10.99,6.72
2025-01-01T00:25:06.363770,-129.5,-40.74,31.43
2025-01-01T00:25:06.615205,-283.43,-60.13,-60.34
2025-01-01T00:25:06.799569,7.28,1.89,29.89
2025-01-01T00:25:07.022188,177.1,-22.96,-16.87
2025-01-01T00:25:07.222670,201.67,-235.48,-84.63
2025-01-01T00:25:07.448590,172.55,28.28,23.45
2025-01-01T00:25:07.739690,10.57,-35.84,13.65
2025-01-01T00:25:07.940203,-129.92,-42.0,-37.45
2025-01-01T00:25:08.156301,-122.71,45.85,-59.85
2025-01-01T00:25:08.341160,-187.39,77.63,-94.71
2025-01-01T00:25:08.572933,-4.48,-21.14,-11.62
2025-01-01T00:25:08.757804,92.61,-20.16,37.17
2025-01-01T00:25:08.989533,220.5,-28.42,112.42
2025-01-01T00:25:09.190016,86.66,12.39,18.41
2025-01-01T00:25:09.509977,2.31,4.48,0.63
2025-01-01T00:25:09.791377,-3.71,4.06,17.78
2025-01-01T00:25:10.029650,-7.84,49.98,1.96
2025-01-01T00:25:10.223631,-11.48,27.16,2.73
2025-01-01T00:25:10.434006,-0.28,5.95,-0.28
2025-01-01T00:25:10.631499,-0.28,2.31,0.63
2025-01-01T00:25:10.947888,0.84,5.11,-0.84
2025-01-01T00:25:11.163670,0.21,3.36,3.01
2025-01-01T00:25:11.395783,-8.47,-3.92,36.54
2025-01-01T00:25:11.564622,35.35,6.58,147.07
2025-01-01T00:25:11.749485,-3.43,21.21,153.37
2025-01-01T00:25:11.981251,1.75,-5.32,-4.13
2025-01-01T00:25:12.197409,-6.72,-4.83,-17.43
2025-01-01T00:25:12.492489,33.04,-34.09,-135.66
2025-01-01T00:25:12.714561,12.46,-22.96,-121.52
2025-01-01T00:25:12.915047,-4.48,37.87,-138.74
2025-01-01T00:25:13.131160,40.6,18.9,-78.75
2025-01-01T00:25:13.338151,-0.7,17.36,7.21
2025-01-01T00:25:13.538172,-31.29,5.32,71.4
2025-01-01T00:25:13.780909,-7.42,-35.56,247.59
2025-01-01T00:25:14.002260,-40.74,-9.52,122.78
2025-01-01T00:25:14.261644,-3.85,20.44,-16.94
2025-01-01T00:25:14.462128,-47.04,84.21,-173.32
2025-01-01T00:25:14.678243,-2.87,52.78,-191.03
2025-01-01T00:25:14.878724,6.3,-103.11,-98.49
2025-01-01T00:25:15.079253,5.67,54.18,-48.65
2025-01-01T00:25:15.295366,-3.22,-15.75,11.06
2025-01-01T00:25:15.607260,-14.98,36.26,203.56
2025-01-01T00:25:15.812261,46.9,17.64,132.23
2025-01-01T00:25:16.012744,-1.05,38.64,43.26
2025-01-01T00:25:16.228889,-1.47,4.83,-6.16
2025-01-01T00:25:16.459292,-44.03,-26.67,-138.39
2025-01-01T00:25:16.645531,25.06,49.91,-212.73
2025-01-01T00:25:16.846028,-33.18,-2.38,-126.28
2025-01-01T00:25:17.168245,-8.61,-8.75,10.71
2025-01-01T00:25:17.468936,-39.9,-54.32,161.0
2025-01-01T00:25:17.669427,4.48,79.87,189.63
2025-01-01T00:25:17.885546,14.21,-133.07,69.93
2025-01-01T00:25:18.070402,-6.09,14.14,22.89
2025-01-01T00:25:18.286518,14.28,-169.12,-311.01
2025-01-01T00:25:18.518233,-40.11,133.42,-190.12
2025-01-01T00:25:18.865909,38.36,16.03,-82.46
2025-01-01T00:25:19.119783,-15.82,-16.87,25.62
2025-01-01T00:25:19.335895,-60.69,23.17,97.93
2025-01-01T00:25:19.536470,-11.69,45.99,110.39
2025-01-01T00:25:19.768200,8.05,-2.8,56.91
2025-01-01T00:25:20.075302,-1.61,-10.64,-2.45
2025-01-01T00:25:20.375762,-7.42,-111.23,-12.74
2025-01-01T00:25:20.576181,3.43,0.56,-1.47
2025-01-01T00:25:20.792293,2.59,9.87,-4.27
2025-01-01T00:25:20.992496,-5.6,5.67,0.14
2025-01-01T00:25:21.208616,0.35,2.66,-1.47
2025-01-01T00:25:21.409102,1.54,-2.38,-0.07
2025-01-01T00:25:21.709845,-3.57,5.25,-3.43
2025-01-01T00:25:21.910374,0.42,0.63,-3.71
2025-01-01T00:25:22.126480,-1.05,2.59,-1.68
2025-01-01T00:25:22.342197,-2.31,1.33,-1.75
2025-01-01T00:25:22.552190,-2.31,4.97,-33.67
